,ProjectID,RequirementText,Class
0,101,system shall refresh display second,PE
1,101,application shall match color schema set forth department homeland security,LF
2,101,project datum readable projection screen viewer able read event activity datum view distance,US
3,101,product shall available normal business hour long user access client pc system available time month operation,A
4,101,project datum understandable projection screen viewer able determine event activity occur current time view distance,US
5,101,product shall ensure access authorized user product able distinguish authorized unauthorized user access attempt,SE
6,101,product shall intuitive self explanatory new user shall able start display event activity minute product,US
7,101,product shall respond fast date datum display,PE
28,102,look feel system shall conform user interface standard smart device,LF
29,102,user interface shall standard menus button navigation,LF
30,102,system shall professional appearance,LF
31,102,product shall consistent color scheme font,LF
32,102,system shall realtor no training,US
33,102,system shall intuitive self explanatory,US
34,102,product shall easy realtor learn,US
35,102,product shall use symbol word naturally understandable realtor community,US
36,102,product shall produce search result acceptable time,PE
37,102,search result shall return no later second user enter search criterion,PE
38,102,product shall generate cma report acceptable time,PE
39,102,cma report shall return no later second user enter cma report criterion,PE
40,102,product shall synchronize contact appointment acceptable time,PE
41,102,product shall synchronize office system hour,PE
42,102,product shall available use hour day day year,A
43,102,access system system available time,A
44,102,product shall operate offline mode internet connection unavailable,FT
45,102,product shall allow user view previously download search result cma report appointment,FT
46,102,product shall retain user preference event failure,FT
47,102,save user preference shall restore system come online,FT
48,102,product shall able support multiple remote user,SC
49,102,product shall able support simultaneous user,SC
50,102,product shall capable handle exist user number expect grow time year,SC
51,102,product shall instal untrained realtor recourse separately printed instruction,US
52,102,untrained realtor shall able install product device print instruction,US
53,102,product expect run windows ce palm operating system,PO
54,102,register realtor shall able access system,SE
55,102,user system shall authenticate authorize,SE
56,102,product shall prevent datum incorrect datum introduce,SE
68,103,system shall easy use program administrator nursing staff member,US
69,103,user shall able use system day training,US
70,103,system shall help user avoid make mistake scheduling class clinical nursing student,US
71,103,number mistake note student shall decrease year,US
72,103,system shall intuitive program administrator nursing staff member,US
73,103,program administrator nursing staff member shall successfully able use system manage scheduling class clinical,US
74,103,system shall use symbol word naturally understandable user community,US
75,103,verbiage system shall consistent standard english terminology national nursing community,US
76,103,staff member shall able complete set task timely manner,PE
77,103,response time general student management task shall no long second response time schedule generation shall no long second,PE
78,103,system shall available use hour p.m.,A
79,103,system shall achieve time,A
80,103,system shall able handle user request usage business hour,SC
81,103,system shall cater simultaneous user p.m.,SC
82,103,system shall capable process nursing student class year,SC
83,103,system shall expect manage nursing program curriculum class clinical scheduling minimum year,SC
84,103,system shall able operate business office environment typical nursing department depaul university,O
85,103,system shall specification define computer program administrator nursing staff member,O
86,103,system shall operate windows xp professional operating system,O
87,103,system shall interface campusconnect central server,O
88,103,system shall interface faculty central server,O
89,103,system shall interface student master server,O
90,103,able interface html browser,O
91,103,authorize user shall access clinical site information,SE
92,103,program administrator nursing staff member people shall access clinical site detail,SE
93,103,authorize user shall access student  personal information,SE
94,103,dr susan poslusny dr julie donalek people shall access student  personal information,SE
95,103,authorize user shall access portion system interface campusconnect,SE
96,103,fit criterion dr susan poslusny karen sysol people shall access final class section scheduling system interface campusconnect,SE
97,103,system shall basic datum integrity check reduce possibility incorrect invalid datum introduce,SE
98,103,system shall protect private information accordance organization information policy,SE
99,103,system shall build secure possible malicious interference,SE
100,103,system shall use organization standard virus protection software help monitor threat,SE
147,104,dispute application shall comply corporate standard user interface creation internally externally application,LF
