,Class
0,6
1,10
2,10
3,6
4,3
5,9
6,3
7,9
8,5
9,9
10,9
11,10
12,10
13,9
14,0
15,7
16,9
17,1
18,9
19,5
20,9
21,8
22,3
23,10
24,3
25,9
26,3
27,7
28,5
29,10
30,10
31,9
32,9
33,6
34,6
35,6
36,6
37,3
38,9
39,10
40,9
41,10
42,1
43,10
44,9
45,10
46,6
47,6
48,9
49,9
50,4
51,5
52,9
53,6
54,9
55,4
56,5
57,9
58,8
59,9
60,10
61,2
62,8
63,4
64,10
65,10
66,10
67,6
68,9
69,5
70,1
71,9
72,3
73,6
74,6
75,1
76,9
77,5
78,6
79,6
80,9
81,9
82,5
83,10
84,6
85,6
86,9
87,5
88,10
89,10
90,6
91,6
92,7
93,9
94,10
95,6
96,9
97,6
98,0
99,2
100,9
101,10
102,2
103,3
104,10
105,6
106,6
107,4
108,10
109,10
110,6
111,10
112,5
113,10
114,0
115,6
116,0
117,8
118,9
119,2
120,0
121,9
122,6
123,5
124,9
125,9
126,5
127,6
128,3
129,9
130,5
131,3
132,9
133,5
134,3
135,3
136,8
137,0
138,9
139,3
140,10
141,6
142,9
143,9
144,9
145,6
146,0
147,3
148,9
149,9
150,0
151,5
152,9
153,4
154,9
155,0
156,5
157,5
158,5
159,9
160,10
161,3
162,4
163,9
164,9
165,9
166,8
167,3
168,6
169,1
170,3
171,5
172,2
173,6
174,6
175,10
176,9
177,4
178,5
179,0
180,3
181,0
182,9
183,8
184,8
185,5
186,3
187,9
188,3
189,10
190,6
191,3
192,1
193,9
194,9
195,5
196,2
197,5
198,3
199,6
200,9
201,9
202,5
203,9
204,1
205,10
206,2
207,9
208,5
209,9
210,0
211,10
212,9
213,1
214,0
215,9
216,3
217,9
218,5
219,10
220,10
221,6
222,3
223,0
224,5
225,2
226,8
227,4
228,8
229,10
230,1
231,0
232,3
233,9
234,10
235,8
236,3
237,10
238,9
239,0
240,10
241,9
242,5
243,9
244,5
245,7
246,5
247,10
248,9
249,4
250,2
251,7
252,6
253,2
254,9
255,3
256,5
257,6
258,10
259,9
260,9
261,10
262,10
263,7
264,10
265,1
266,8
267,5
268,7
269,6
270,2
271,10
272,9
273,4
274,9
275,9
276,7
277,9
278,6
279,8
280,9
281,4
282,5
283,9
284,3
285,10
286,5
287,9
288,10
289,5
290,10
291,6
292,9
293,0
294,7
295,3
296,6
297,1
298,9
299,0
300,3
301,0
302,9
303,5
304,9
305,5
306,6
307,5
308,10
309,5
310,6
311,9
312,6
313,6
314,5
315,6
316,9
317,9
318,6
319,5
320,5
321,10
322,10
323,9
324,8
325,9
326,10
327,6
328,4
329,0
330,5
331,10
332,3
333,3
334,5
335,10
336,0
337,4
338,9
339,0
340,5
341,10
342,9
343,6
344,10
345,0
346,5
347,9
348,10
349,9
350,5
351,9
352,5
353,3
354,10
