,Class
0,10
1,9
2,9
3,10
4,10
5,9
6,10
7,9
8,4
9,9
10,9
11,10
12,9
13,4
14,6
15,10
16,7
17,6
18,9
19,0
20,4
21,3
22,6
23,0
24,9
25,5
26,9
27,10
28,10
29,9
30,6
31,10
32,9
33,6
34,0
35,9
36,3
37,6
38,3
39,10
40,10
41,9
42,7
43,6
44,9
45,10
46,10
47,6
48,3
49,5
50,6
51,9
52,10
53,5
54,9
55,9
56,9
57,6
58,3
59,4
60,5
61,0
62,2
63,10
64,3
65,5
66,1
67,10
68,5
69,9
70,3
71,8
72,9
73,5
74,10
75,9
76,3
77,6
78,0
79,1
80,8
81,5
82,6
83,0
84,5
85,9
86,9
87,10
88,3
89,8
90,6
91,9
92,2
93,9
94,9
95,9
96,9
97,3
98,3
99,0
100,5
101,3
102,5
103,9
104,10
105,9
106,6
107,6
108,6
109,6
110,2
111,2
112,10
113,9
114,10
115,5
116,3
117,0
118,9
119,5
120,8
121,10
122,3
123,7
124,2
125,3
126,10
127,9
128,3
129,9
130,6
131,6
132,10
133,6
134,4
135,9
136,10
137,4
138,9
139,9
140,5
141,4
142,5
143,10
144,6
145,9
146,9
147,10
148,3
149,4
150,2
151,9
152,10
153,6
154,4
155,10
156,3
157,5
158,3
159,4
160,6
161,6
162,0
163,5
164,1
165,10
166,5
167,6
168,6
169,10
170,6
171,9
172,8
173,5
174,8
175,6
176,10
177,6
178,5
179,9
180,10
181,7
182,9
183,10
184,9
185,9
186,2
187,0
188,10
189,6
190,10
191,9
192,6
193,10
194,0
195,6
196,9
197,10
198,3
199,5
200,9
201,5
202,8
203,8
204,5
205,10
206,0
207,10
208,6
209,9
210,3
211,3
212,6
213,7
214,9
215,9
216,9
217,1
218,5
219,9
220,9
221,9
222,10
223,3
224,5
225,6
226,6
227,6
228,3
229,5
230,10
231,9
232,4
233,9
234,4
235,1
236,1
237,1
238,7
239,9
240,9
241,0
242,9
243,4
244,9
245,4
246,6
247,5
248,4
249,5
250,10
251,9
252,5
253,9
254,5
255,2
256,3
257,10
258,9
259,5
260,0
261,3
262,3
263,6
264,9
265,1
266,5
267,0
268,10
269,10
270,9
271,10
272,5
273,8
274,3
275,3
276,10
277,9
278,5
279,7
280,5
281,10
282,9
283,5
284,9
285,10
286,8
287,5
288,9
289,10
290,9
291,6
292,5
293,9
294,3
295,9
296,5
297,5
298,5
299,9
300,7
301,3
302,4
303,8
304,5
305,5
306,9
307,10
308,1
309,1
310,0
311,7
312,10
313,0
314,10
315,8
316,6
317,6
318,3
319,6
320,9
321,8
322,0
323,5
324,10
325,3
326,0
327,6
328,10
329,10
330,5
331,5
332,9
333,9
334,9
335,9
336,8
337,10
338,6
339,3
340,5
341,2
342,0
343,0
344,6
345,6
346,5
347,3
348,9
349,9
350,1
351,6
352,10
353,3
354,5
355,5
356,5
357,2
358,9
359,9
360,5
361,3
362,2
363,10
364,5
365,10
366,8
367,5
368,9
369,9
370,0
371,8
372,10
373,9
374,4
375,5
376,5
377,6
378,4
379,3
380,9
381,9
382,9
383,6
384,4
385,9
386,10
387,1
388,9
389,3
390,5
391,9
392,5
393,8
394,6
395,6
396,9
397,9
398,0
399,10
400,9
401,6
402,10
403,5
404,1
405,5
406,1
407,0
408,9
409,6
410,8
411,10
412,10
413,10
414,9
415,9
416,2
417,5
418,0
419,5
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,1
515,1
516,1
517,1
518,1
519,1
520,1
521,1
522,1
523,1
524,1
525,1
526,1
527,1
528,1
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,1
542,1
543,1
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,1
578,1
579,1
580,1
581,2
582,2
583,2
584,2
585,2
586,2
587,2
588,2
589,2
590,2
591,2
592,2
593,2
594,2
595,2
596,2
597,2
598,2
599,2
600,2
601,2
602,2
603,2
604,2
605,2
606,2
607,2
608,2
609,2
610,2
611,2
612,2
613,2
614,2
615,2
616,2
617,2
618,2
619,2
620,2
621,2
622,2
623,2
624,2
625,2
626,2
627,2
628,2
629,2
630,2
631,2
632,2
633,2
634,2
635,2
636,2
637,2
638,2
639,2
640,2
641,2
642,2
643,2
644,2
645,2
646,2
647,2
648,2
649,2
650,2
651,2
652,2
653,2
654,2
655,2
656,2
657,2
658,2
659,2
660,2
661,2
662,2
663,2
664,2
665,2
666,2
667,2
668,2
669,3
670,3
671,3
672,3
673,3
674,3
675,3
676,3
677,3
678,3
679,3
680,3
681,3
682,3
683,3
684,3
685,3
686,3
687,3
688,3
689,3
690,3
691,3
692,3
693,3
694,3
695,3
696,3
697,3
698,3
699,3
700,3
701,3
702,3
703,3
704,3
705,3
706,3
707,3
708,3
709,3
710,3
711,3
712,3
713,3
714,3
715,3
716,3
717,3
718,3
719,3
720,3
721,3
722,3
723,3
724,3
725,3
726,3
727,3
728,3
729,3
730,4
731,4
732,4
733,4
734,4
735,4
736,4
737,4
738,4
739,4
740,4
741,4
742,4
743,4
744,4
745,4
746,4
747,4
748,4
749,4
750,4
751,4
752,4
753,4
754,4
755,4
756,4
757,4
758,4
759,4
760,4
761,4
762,4
763,4
764,4
765,4
766,4
767,4
768,4
769,4
770,4
771,4
772,4
773,4
774,4
775,4
776,4
777,4
778,4
779,4
780,4
781,4
782,4
783,4
784,4
785,4
786,4
787,4
788,4
789,4
790,4
791,4
792,4
793,4
794,4
795,4
796,4
797,4
798,4
799,4
800,4
801,4
802,4
803,4
804,4
805,4
806,4
807,4
808,4
809,4
810,4
811,5
812,5
813,5
814,5
815,5
816,5
817,5
818,5
819,5
820,5
821,5
822,5
823,5
824,5
825,5
826,5
827,5
828,5
829,5
830,5
831,5
832,5
833,5
834,5
835,5
836,5
837,5
838,5
839,5
840,5
841,5
842,5
843,5
844,5
845,5
846,5
847,5
848,5
849,6
850,6
851,6
852,6
853,6
854,6
855,6
856,6
857,6
858,6
859,6
860,6
861,6
862,6
863,6
864,6
865,6
866,6
867,6
868,6
869,6
870,6
871,6
872,6
873,6
874,6
875,6
876,6
877,6
878,6
879,6
880,6
881,6
882,6
883,6
884,6
885,6
886,6
887,6
888,6
889,6
890,6
891,6
892,6
893,6
894,6
895,7
896,7
897,7
898,7
899,7
900,7
901,7
902,7
903,7
904,7
905,7
906,7
907,7
908,7
909,7
910,7
911,7
912,7
913,7
914,7
915,7
916,7
917,7
918,7
919,7
920,7
921,7
922,7
923,7
924,7
925,7
926,7
927,7
928,7
929,7
930,7
931,7
932,7
933,7
934,7
935,7
936,7
937,7
938,7
939,7
940,7
941,7
942,7
943,7
944,7
945,7
946,7
947,7
948,7
949,7
950,7
951,7
952,7
953,7
954,7
955,7
956,7
957,7
958,7
959,7
960,7
961,7
962,7
963,7
964,7
965,7
966,7
967,7
968,7
969,7
970,7
971,7
972,7
973,7
974,7
975,7
976,7
977,7
978,7
979,7
980,7
981,7
982,7
983,7
984,7
985,7
986,8
987,8
988,8
989,8
990,8
991,8
992,8
993,8
994,8
995,8
996,8
997,8
998,8
999,8
1000,8
1001,8
1002,8
1003,8
1004,8
1005,8
1006,8
1007,8
1008,8
1009,8
1010,8
1011,8
1012,8
1013,8
1014,8
1015,8
1016,8
1017,8
1018,8
1019,8
1020,8
1021,8
1022,8
1023,8
1024,8
1025,8
1026,8
1027,8
1028,8
1029,8
1030,8
1031,8
1032,8
1033,8
1034,8
1035,8
1036,8
1037,8
1038,8
1039,8
1040,8
1041,8
1042,8
1043,8
1044,8
1045,8
1046,8
1047,8
1048,8
1049,8
1050,8
1051,8
1052,8
1053,8
1054,8
1055,8
1056,8
1057,8
1058,8
1059,8
1060,8
1061,8
1062,8
1063,8
1064,8
1065,8
1066,8
1067,8
1068,10
1069,10
1070,10
1071,10
1072,10
1073,10
1074,10
1075,10
1076,10
1077,10
1078,10
1079,10
1080,10
1081,10
1082,10
1083,10
1084,10
1085,10
1086,10
1087,10
1088,10
1089,10
1090,10
1091,10
1092,10
1093,10
1094,10
1095,10
1096,10
1097,10
1098,10
1099,10
