,Class
0,10
1,10
2,4
3,3
4,9
5,6
6,9
7,5
8,10
9,6
10,5
11,5
12,6
13,10
14,9
15,8
16,5
17,5
18,9
19,9
20,7
21,10
22,9
23,9
24,9
25,6
26,3
27,10
28,5
29,9
30,5
31,3
32,6
33,9
34,9
35,9
36,10
37,0
38,9
39,9
40,6
41,9
42,8
43,5
44,4
45,9
46,9
47,0
48,1
49,9
50,3
51,9
52,9
53,9
54,5
55,5
56,10
57,9
58,9
59,9
60,3
61,3
62,5
63,6
64,6
65,3
66,9
67,5
68,6
69,3
70,6
71,10
72,9
73,9
74,5
75,7
76,10
77,8
78,9
79,4
80,8
81,10
82,9
83,9
84,3
85,6
86,1
87,6
88,10
89,3
90,1
91,6
92,5
93,9
94,0
95,6
96,9
97,6
98,5
99,6
100,9
101,3
102,3
103,0
104,6
105,5
106,5
107,5
108,10
109,7
110,10
111,10
112,9
113,2
114,6
115,4
116,5
117,9
118,3
119,9
120,10
121,3
122,10
123,9
124,7
125,3
126,6
127,10
128,2
129,6
130,5
131,1
132,2
133,7
134,9
135,8
136,0
137,5
138,9
139,9
140,9
141,2
142,10
143,9
144,6
145,10
146,0
147,10
148,5
149,4
150,10
151,9
152,10
153,5
154,10
155,3
156,5
157,10
158,7
159,6
160,9
161,10
162,9
163,9
164,3
165,5
166,9
167,9
168,8
169,9
170,9
171,6
172,5
173,8
174,3
175,4
176,10
177,0
178,6
179,9
180,10
181,8
182,3
183,6
184,0
185,1
186,6
187,9
188,9
189,6
190,8
191,10
192,5
193,10
194,5
195,9
196,5
197,4
198,10
199,9
200,5
201,10
202,0
203,0
204,9
205,6
206,9
207,9
208,10
209,9
210,6
211,3
212,4
213,3
214,9
215,3
216,10
217,9
218,6
219,4
220,6
221,6
222,7
223,6
224,6
225,5
226,10
227,5
228,0
229,0
230,10
231,5
232,4
233,0
234,6
235,10
236,9
237,10
238,3
239,9
240,6
241,10
242,9
243,10
244,0
245,5
246,9
247,6
248,0
249,6
250,10
251,3
252,10
253,9
254,10
255,9
256,4
257,5
258,4
259,4
260,3
261,4
262,5
263,5
264,5
265,10
266,9
267,2
268,9
269,9
270,6
271,10
272,5
273,1
274,5
275,6
276,6
277,8
278,10
279,6
280,9
281,0
282,9
283,9
284,5
285,6
286,2
287,5
288,4
289,8
290,0
291,9
292,9
293,4
294,9
295,10
296,9
297,1
298,1
299,3
300,1
301,10
302,9
303,9
304,5
305,5
306,10
307,6
308,0
309,5
310,2
311,2
312,3
313,0
