,Class
0,3
1,9
2,6
3,6
4,9
5,0
6,0
7,5
8,7
9,6
10,9
11,9
12,6
13,9
14,8
15,0
16,9
17,8
18,9
19,9
20,9
21,1
22,6
23,3
24,8
25,9
26,9
27,10
28,10
29,1
30,4
31,9
32,3
33,3
34,10
35,10
36,4
37,1
38,2
39,10
40,4
41,9
42,4
43,9
44,0
45,10
46,2
47,5
48,6
49,3
50,9
51,9
52,9
53,10
54,0
55,3
56,9
57,6
58,6
59,10
60,9
61,1
62,10
63,5
64,5
65,9
66,6
67,3
68,10
69,10
70,4
71,6
72,10
73,2
74,4
75,5
76,0
77,6
78,8
79,6
80,5
81,9
82,8
83,5
84,1
85,5
86,6
87,5
88,9
89,3
90,2
91,10
92,2
93,10
94,6
95,9
96,4
97,8
98,6
99,6
100,3
101,0
102,6
103,9
104,6
105,3
106,10
107,0
108,0
109,9
110,9
111,9
112,10
113,10
114,8
115,7
116,3
117,0
118,9
119,6
120,6
121,6
122,6
123,10
124,9
125,9
126,9
127,10
128,1
129,6
130,5
131,5
132,10
133,9
134,9
135,0
136,5
137,6
138,6
139,9
140,10
141,0
142,8
143,9
144,2
145,0
146,9
147,9
148,9
149,3
150,7
151,7
152,6
153,9
154,10
155,5
156,3
157,5
158,6
159,5
160,1
161,0
162,10
163,1
164,9
165,5
166,6
167,5
168,9
169,10
170,9
171,10
172,9
173,8
174,5
175,9
176,5
177,10
178,10
179,9
180,3
181,10
182,5
183,6
184,0
185,1
186,3
187,10
188,10
189,0
190,5
191,3
192,10
193,3
194,10
195,1
196,9
197,9
198,4
199,0
200,10
201,10
202,9
203,9
204,3
205,4
206,9
207,10
208,9
209,6
210,9
211,10
212,9
213,9
214,3
215,9
216,10
217,3
218,0
219,2
220,1
221,3
222,7
223,9
224,5
225,10
226,9
227,0
228,0
229,5
230,9
231,0
232,10
233,5
234,9
235,5
236,5
237,9
238,6
239,3
240,9
241,3
242,3
243,10
244,10
245,4
246,5
247,6
248,1
249,10
250,3
251,10
252,10
253,10
254,10
255,10
256,5
257,9
258,10
259,5
260,9
261,6
262,2
263,5
264,3
265,5
266,8
267,9
268,6
269,3
270,8
271,8
272,6
273,9
274,8
275,9
276,8
277,9
278,6
279,9
280,5
281,9
282,1
283,5
284,9
285,4
286,2
287,6
288,5
289,9
290,5
291,5
292,4
293,5
294,9
295,9
296,10
297,10
298,9
299,7
300,5
301,9
302,8
303,6
304,10
305,9
306,6
307,7
308,10
309,5
310,9
311,9
312,5
313,3
314,9
315,6
316,7
317,2
318,10
319,5
320,3
321,0
322,10
323,10
324,10
325,5
326,0
327,4
328,5
329,4
330,9
331,5
332,9
333,9
334,4
335,3
336,5
337,5
338,5
339,6
340,5
341,8
342,2
343,9
344,9
345,5
346,5
347,4
348,6
349,6
350,0
351,5
352,3
353,10
354,6
355,10
356,9
357,3
358,5
359,4
360,6
361,3
362,6
363,10
364,6
365,10
366,9
367,10
368,3
369,5
370,5
371,0
372,10
373,5
374,8
375,9
376,6
377,5
378,9
379,9
380,6
381,8
382,10
383,3
384,3
385,5
386,1
387,9
388,9
389,9
390,9
391,9
392,5
393,9
394,9
395,4
396,5
397,9
398,6
399,10
400,2
401,10
402,3
403,10
404,9
405,3
406,9
407,6
408,3
409,5
410,6
411,10
412,4
413,5
414,9
415,6
416,6
417,10
418,5
419,7
