Algoritmo,interaction,Precision,Recall,F1
ET,1,0.46293569175922117,0.5644257703081232,0.48161150170400213
LR,1,0.4789729877965172,0.5603489647607294,0.5002384789817944
MLP,1,0.43886603592485945,0.5333614471460321,0.45466227662234926
MNB,1,0.6304881393116687,0.6269236482471776,0.6200034728034794
PA,1,0.48310846016728365,0.5933247911508781,0.5106969877023354
SGD,1,0.5024132730015083,0.6768224844796853,0.5441101337599527
SVM,1,0.4804881393116687,0.5635984430242803,0.4999873914681217
ET,2,0.5252900041135335,0.7288502877747729,0.5614781353911789
LR,2,0.5340545728781023,0.608080808080808,0.5488098411852078
MLP,2,0.5265391471273824,0.5624703798616842,0.5029427791459876
MNB,2,0.5901330042506513,0.5558796422432786,0.5597792359155996
PA,2,0.45546277252159606,0.5205946014769545,0.4696867609078973
SGD,2,0.4255697243932538,0.48175907489408626,0.43024603400778944
SVM,2,0.5561990950226244,0.6597763347763347,0.5724759557295442
ET,3,0.4906321129850541,0.6381328666017662,0.5211965433177485
LR,3,0.5938639791580967,0.6640783458965277,0.6072919175685974
MLP,3,0.5770190593720005,0.5382798573975044,0.5421663663290457
MNB,3,0.5577087618264088,0.5350723058232939,0.5258277354829078
PA,3,0.5687302893185247,0.6389184345066699,0.5777847515152831
SGD,3,0.5247730700671878,0.5748993484541153,0.5378027500284553
SVM,3,0.5589263677498972,0.6464656309944895,0.5715603303838598
ET,4,0.48407239819004527,0.5465367965367965,0.4906107764965512
LR,4,0.6095324283559578,0.6604816493379543,0.6272005511135945
MLP,4,0.539056629644865,0.5979034784623883,0.5595232815469235
MNB,4,0.6279994515288633,0.6107438016528925,0.6093762593762594
PA,4,0.6258727546962841,0.643546438712253,0.6263107263107264
SGD,4,0.5347621006444535,0.5426480716253443,0.524891544748004
SVM,4,0.5661757849993144,0.6606359649122807,0.6004220021731447
ET,5,0.5212011517893871,0.6631666351780204,0.5433381433381433
LR,5,0.5945166598107774,0.7130173674401561,0.6286187563864516
MLP,5,0.46581242287124636,0.5177985739750445,0.4801695526695527
MNB,5,0.6280638968874263,0.592617079889807,0.6062037962037962
PA,5,0.6015096668037844,0.7174325674325674,0.6342530928425364
SGD,5,0.4944042232277526,0.5757437902599194,0.5136357574039917
SVM,5,0.5520266008501302,0.5874458874458873,0.5619354860981656
ET,6,0.5490319484437131,0.7080682990899709,0.5838050838050838
LR,6,0.5811175099410394,0.6896721005117589,0.6045950968188424
MLP,6,0.510012340600576,0.7135921700803735,0.5429403824090732
MNB,6,0.6152708076237489,0.5981146304675716,0.59790077422414
PA,6,0.53947209653092,0.6110688162412301,0.545257438167564
SGD,6,0.5659659947895243,0.685014005602241,0.5962364709622935
SVM,6,0.5878911284793639,0.7486431131592423,0.6291389834170583
