Algoritmo,interaction,Precision,Recall,F1
ET,1,0.7012244618126972,0.6416119234301052,0.6528995069102022
LR,1,0.689994515288633,0.7606643356643357,0.698134362487251
MLP,1,0.606465103523927,0.6587202557790793,0.6066664173616044
MNB,1,0.5201851090086383,0.6155564865242286,0.5477506797025514
PA,1,0.6319196489784725,0.6281604868561389,0.6219497758971443
SGD,1,0.6539572192513369,0.7001628199489162,0.6492911506851345
SVM,1,0.6623118058412175,0.7132034632034632,0.6772347739573799
ET,2,0.5757411216234746,0.5521270396270396,0.5507461369890212
LR,2,0.549126559714795,0.5611471861471862,0.5451863427466572
MLP,2,0.5296201837378308,0.6098789846517119,0.543633687101429
MNB,2,0.5027999451528863,0.5114832535885168,0.5019710087891907
PA,2,0.5072617578499932,0.5429311751050881,0.5055525745269079
SGD,2,0.5603153709036062,0.5512698412698412,0.5455699855699856
SVM,2,0.5319141642671054,0.606733483907397,0.5385522630104673
ET,3,0.6906321129850541,0.667018006148441,0.6550983864620229
LR,3,0.605093925682161,0.6519988033357017,0.6170878287899565
MLP,3,0.6400493624023035,0.5850103105450698,0.6028525424588684
MNB,3,0.5889208830385301,0.5937699981178243,0.5734476634018789
PA,3,0.631131221719457,0.6131119810545647,0.6088023360750634
SGD,3,0.585867269984917,0.5589869281045753,0.5611628306051529
SVM,3,0.592455779514603,0.6826033057851238,0.6224331460501673
ET,4,0.7434485122720417,0.7211107944650265,0.7147448511084875
LR,4,0.6457891128479364,0.7126058681185723,0.6694429704107123
MLP,4,0.6736445907034142,0.7187872641219497,0.685516470374337
MNB,4,0.6188564376799671,0.6486398071625344,0.6216842611579453
PA,4,0.6446373234608529,0.676984126984127,0.6555189236149785
SGD,4,0.6266145619086795,0.7157255787690571,0.6562400031299552
SVM,4,0.6507212395447689,0.7813428401663696,0.6892950899368011
ET,5,0.5894433017962429,0.5964876033057851,0.5627165144984105
LR,5,0.6377197312491429,0.7233372687918144,0.6636367494361536
MLP,5,0.5429960235842589,0.7519667832167832,0.5787993505696855
MNB,5,0.5578870149458385,0.6746444286551239,0.5796772671772672
PA,5,0.5938872891814069,0.6894988849534305,0.6120738910212594
SGD,5,0.5996626902509257,0.6531749311294766,0.5968175259084351
SVM,5,0.43940216646099,0.5961348781937018,0.45985844064932163
ET,6,0.619812148635678,0.6952225438295819,0.6213252787118579
LR,6,0.5748375154257507,0.5937369082530373,0.5715367758648171
MLP,6,0.6152241875771287,0.7137120455302274,0.6281953317422766
MNB,6,0.5994199917729328,0.605524997877939,0.5890835268910135
PA,6,0.5826093514328808,0.6079545454545454,0.5821912566249231
SGD,6,0.5588605512134923,0.5742590742590742,0.5532904805632078
SVM,6,0.5889496777732073,0.6257607829223819,0.5935784444409594
