Algoritmo,interaction,Precision,Recall,F1
ET,1,0.4880117921294392,0.5929271218977102,0.4992501078787674
LR,1,0.5371027012203483,0.5938773701931596,0.5575368256848696
MLP,1,0.5336857260386672,0.5589157061933832,0.532065712065712
MNB,1,0.4952900041135335,0.48700520612285314,0.4857865088128246
PA,1,0.611564513917455,0.6333027242118151,0.6155081760344918
SGD,1,0.4768051556286851,0.564746847355543,0.49006613876027977
SVM,1,0.5346784587961059,0.6424242424242425,0.565064535815524
ET,2,0.5043150966680379,0.6117424242424242,0.5201059611616796
LR,2,0.5909639380227616,0.6180667158928029,0.5942057312026353
MLP,2,0.5971081859317153,0.6075836284927193,0.5878031632577086
MNB,2,0.4642739613327848,0.5599608724608726,0.48367021309165475
PA,2,0.5839709310297545,0.608974358974359,0.5819605080802419
SGD,2,0.5573042643630879,0.6157030469530469,0.5750437760007138
SVM,2,0.5663951734539969,0.6462809917355372,0.5807833700486887
ET,3,0.612133552721788,0.7720376029199559,0.65463630400777
LR,3,0.6552296722884958,0.6278429903429902,0.6232770151219348
MLP,3,0.6309406279994515,0.6259346713892168,0.6142072959135207
MNB,3,0.683411490470314,0.6851923076923077,0.6558188320243656
PA,3,0.6444275332510627,0.6756737885770144,0.6354730364185314
SGD,3,0.6391868915398327,0.6342990342990343,0.6267773445192799
SVM,3,0.6200548471136706,0.7363288635013234,0.6551232237131477
ET,4,0.6613684354860825,0.7149234900571799,0.6637469647797878
LR,4,0.7366502125325654,0.8332001332001332,0.7474807656014111
MLP,4,0.6394611271081859,0.6662460145218765,0.6289017891784691
MNB,4,0.7299424105306458,0.7833268026246404,0.7213924963924965
PA,4,0.7181242287124641,0.8010828730656318,0.7258901651991032
SGD,4,0.7479747703277115,0.8135576544667454,0.7481906758685607
SVM,4,0.6832935691759221,0.8579129856559323,0.7134868498504863
ET,5,0.5222597010832305,0.6982754372998276,0.5717160670270718
LR,5,0.6289318524612643,0.6691312549156354,0.6317750576371265
MLP,5,0.46269299328122854,0.4770429911094873,0.45631192690016215
MNB,5,0.6181530234471411,0.6821958789873228,0.627483390050235
PA,5,0.6208802961744138,0.6536004225659398,0.6210500999974684
SGD,5,0.549971205265323,0.6287643807805098,0.5700848183606805
SVM,5,0.5490991361579597,0.5886257236524617,0.5415245917604409
ET,6,0.586049636637872,0.689084928229665,0.6201956438657817
LR,6,0.6596681749622926,0.7085020714052972,0.6719358082994447
MLP,6,0.6519744960921431,0.5729028547210366,0.5914904594746492
MNB,6,0.6075469628410805,0.677994227994228,0.6225493715924336
PA,6,0.624730563554093,0.643939393939394,0.6246943292397837
SGD,6,0.6152063622651858,0.6394874065328611,0.6139583559295896
SVM,6,0.6028890717126012,0.6683494144309191,0.6186993083544808
