Algoritmo,interaction,Precision,Recall,F1
ET,1,0.6243987385163856,0.6640094753731117,0.6215885227318013
LR,1,0.5371027012203483,0.5961017053122316,0.5578793280397558
MLP,1,0.4680172768408063,0.5940157881334351,0.49809637723261047
MNB,1,0.47583024818318925,0.5212182944803265,0.4799500735670948
PA,1,0.5779048402577814,0.6275474038631933,0.5926236686664494
SGD,1,0.5172987796517208,0.577200577200577,0.5391108091451144
SVM,1,0.5346784587961059,0.6379559284528858,0.5630857461361995
ET,2,0.582496914849856,0.574665352472839,0.5511703046643679
LR,2,0.6063115316056492,0.6418997668997669,0.6108957100504705
MLP,2,0.5538818044700397,0.5794847828938738,0.5553398303083866
MNB,2,0.4860030165912519,0.5363652048434656,0.500145681006925
PA,2,0.5669354175236528,0.5709071231798504,0.5558750141845812
SGD,2,0.6271973124914301,0.6518933928024837,0.6244207471480199
SVM,2,0.5673275743863978,0.6366552851083314,0.5745357385103301
ET,3,0.7134526258055669,0.7544067044067044,0.7052587337662194
LR,3,0.6579747703277115,0.6803717421386043,0.6523264853631928
MLP,3,0.5692527080762374,0.6838797167744537,0.5929333561762177
MNB,3,0.5970848759084053,0.6483225108225108,0.6079958912603151
PA,3,0.6710941999177293,0.6867866981503344,0.6730907457322551
SGD,3,0.660767859591389,0.6620986052071097,0.6456240728968001
SVM,3,0.6450102838338133,0.735018635553395,0.6692766220195687
ET,4,0.7377498971616618,0.7095959595959596,0.6820456486859648
LR,4,0.7339887563416976,0.8531266978635401,0.7529504363728964
MLP,4,0.7071260112436583,0.7111230874388769,0.6862912089447217
MNB,4,0.6730796654326066,0.7614704739704741,0.6692680360391958
PA,4,0.7399602358425887,0.8345076046947704,0.748934398934399
SGD,4,0.7135074729192377,0.6849567099567099,0.6765261015750695
SVM,4,0.6886411627588097,0.8625541125541125,0.7194262825953842
ET,5,0.6225860414095709,0.6449169110459434,0.6193450798713958
LR,5,0.6131975867269985,0.6585892368501064,0.6212561372938731
MLP,5,0.5271973124914301,0.626638379616436,0.5525377033032535
MNB,5,0.5461579596873715,0.6325895316804406,0.5598847895399618
PA,5,0.5938872891814069,0.622990228162642,0.58771434252378
SGD,5,0.6105539558480735,0.6633811503717459,0.6174770648454859
SVM,5,0.3935609488550665,0.48274301456119645,0.3952500019988664
ET,6,0.6261332784862196,0.6319691802450423,0.6180182080899784
LR,6,0.6487590840532017,0.6694083694083693,0.6443131443131443
MLP,6,0.61416152474976,0.7218241651396732,0.6381908705345917
MNB,6,0.5759797065679418,0.5864507872114363,0.5664862370744724
PA,6,0.6826984779925956,0.6972165261638946,0.6797036297036296
SGD,6,0.6776306046894283,0.6748787502819761,0.668086963541509
SVM,6,0.5968284656519951,0.6653524114339162,0.613997113997114
