Algoritmo,interaction,Precision,Recall,F1
ET,1,0.6094666118195531,0.6153255835074017,0.6004310821635007
LR,1,0.5597518168106403,0.6083471267294797,0.5752937298391844
MLP,1,0.5461154531742767,0.6083680208680209,0.5576996805735809
MNB,1,0.5049170437405731,0.5871794871794873,0.5227543579415238
PA,1,0.5745769916358152,0.5823310023310023,0.5715617956214667
SGD,1,0.5518497189085424,0.5874633295894591,0.562804387135938
SVM,1,0.6109639380227615,0.6458874458874458,0.6224365995163593
ET,2,0.7267160290689701,0.6752656434474616,0.6481827068337332
LR,2,0.6321294391882627,0.7447940947940946,0.6411162453321388
MLP,2,0.5736445907034141,0.7119165682802047,0.6026240234860925
MNB,2,0.5237049225284519,0.496087246087246,0.5012595149253825
PA,2,0.6697051967640202,0.7555681033941902,0.6805779661608609
SGD,2,0.6501151789387083,0.6948294130112312,0.6359980482975135
SVM,2,0.42814342520224874,0.5705373058314234,0.45038215373143603
ET,3,0.5561511037981627,0.5559743287016014,0.5385340445558499
LR,3,0.5880817221993693,0.621944721944722,0.5899083972397755
MLP,3,0.5592102015631427,0.6473963775687914,0.5727032980951475
MNB,3,0.5258535582064993,0.5979165520907808,0.5446596697021145
PA,3,0.595527217880159,0.617026912481458,0.5925156466212184
SGD,3,0.5763526669409023,0.5865945856376478,0.5710881710881711
SVM,3,0.4389496777732072,0.6620102492670475,0.4801466679175657
ET,4,0.5265377759495405,0.5415200391006842,0.5257647907647907
LR,4,0.5293596599478954,0.5830176767676768,0.544591194506305
MLP,4,0.4691868915398327,0.5190580317515301,0.47995567348163787
MNB,4,0.4459426847662142,0.5135642135642136,0.45490665634206306
PA,4,0.5079569450157685,0.573908078453533,0.5267931961711866
SGD,4,0.5234060057589468,0.6283152802677421,0.5546128106499624
SVM,4,0.5058302481831893,0.6175365697104828,0.5342763695634509
ET,5,0.7130796654326065,0.688652256834075,0.6657408022497536
LR,5,0.6953969559851912,0.6638648220466403,0.6684711292221174
MLP,5,0.6312847936377348,0.6174683901956629,0.6158332829822127
MNB,5,0.5163197586726999,0.5713924963924965,0.5069657615112161
PA,5,0.6332990538872892,0.6212859110586384,0.6160663236134934
SGD,5,0.5809584533113944,0.5736779560308971,0.5624699720956404
SVM,5,0.6766982037570274,0.6721074380165288,0.6707030374732237
ET,6,0.6584505690388043,0.660064935064935,0.6354488551324824
LR,6,0.6411133964075141,0.7098829201101929,0.6587338706331841
MLP,6,0.50717400246812,0.7486969745746773,0.5459314307356388
MNB,6,0.46059097764980117,0.5812687312687312,0.4812309147091756
PA,6,0.6434718222953517,0.7133249994212562,0.6602946963909531
SGD,6,0.6416591251885368,0.6464646464646464,0.6325465907284089
SVM,6,0.578992184286302,0.6760863769661425,0.6080833515616124
