Algoritmo,interaction,Precision,Recall,F1
ET,1,0.6000548471136706,0.6058190601668862,0.5939107013063456
LR,1,0.513370355135061,0.524975024975025,0.5116243233890293
MLP,1,0.4913094748388866,0.5783835729487903,0.5005892255892256
MNB,1,0.4870012340600576,0.49356060606060603,0.48258502402167863
PA,1,0.5095146030440147,0.5135904499540863,0.5051878857073663
SGD,1,0.5223488276429452,0.5285547785547786,0.51677520997968
SVM,1,0.5278499931441107,0.6009758215640569,0.538760111742737
ET,2,0.6500959824489235,0.6311454884984297,0.6179027915273901
LR,2,0.578652132181544,0.7035516818125515,0.6040997014681225
MLP,2,0.48046482928835876,0.5710153482880755,0.5012630467175921
MNB,2,0.49572329631153167,0.5166169079962184,0.5019273191686986
PA,2,0.5905772658713835,0.6933039096048501,0.6059628303647443
SGD,2,0.6019854655148773,0.74004329004329,0.6306881558757892
SVM,2,0.44722062251474015,0.6643541643541644,0.4817259281992825
ET,3,0.6400260523789935,0.6571668861441589,0.6369070657695445
LR,3,0.5679281502810914,0.6448347107438017,0.5819411543165209
MLP,3,0.48898258604140954,0.580047225501771,0.4953670612761522
MNB,3,0.4848800219388455,0.5189492325855963,0.491183378919228
PA,3,0.5504182092417387,0.5581310944947309,0.5447830425820857
SGD,3,0.6077087618264089,0.6633001633255183,0.607164102915091
SVM,3,0.5626696832579186,0.6878681010734303,0.5923754332845241
ET,4,0.6154435760318114,0.6171826076288319,0.6017206223727963
LR,4,0.5614630467571644,0.6363283181464999,0.5777539051869949
MLP,4,0.4806609077197313,0.5683704858191662,0.4978521478521479
MNB,4,0.5185630056218291,0.5926027189185085,0.532809914265859
PA,4,0.512502399561223,0.5852395752395753,0.5284487229941774
SGD,4,0.5545769916358151,0.6177803677803678,0.5702396893221547
SVM,4,0.531160016454134,0.6487179487179487,0.5598846184241721
ET,5,0.6799657205539559,0.6758250521408417,0.6597009051554505
LR,5,0.6133223639105992,0.6520654783812678,0.617763329506285
MLP,5,0.6462457150692446,0.6721664698937425,0.6447813820820149
MNB,5,0.6001617989853284,0.6048373763207523,0.591848595317495
PA,5,0.6459426847662141,0.6804403929403928,0.6479755033826046
SGD,5,0.5723899629781983,0.6334468163415532,0.589215163798798
SVM,5,0.3986000274235568,0.5133888333888333,0.4199901034794083
ET,6,0.6608748114630468,0.6341105863833136,0.6388352489055398
LR,6,0.5797751268339503,0.5894436216804638,0.5777116474608637
MLP,6,0.5115699986288221,0.587338295233032,0.5334968723513615
MNB,6,0.5678499931441108,0.613973063973064,0.5786691139801188
PA,6,0.5813135883724119,0.6784632034632035,0.598599710982156
SGD,6,0.6017002605237899,0.6122895622895622,0.6013982030728442
SVM,6,0.4826929932812286,0.5097744360902255,0.4880558183753995
