Algoritmo,Interaction,Precision,Recall,F1
ET,1,0.6499063028474793,0.6723319799319057,0.6341718950756603
LR,1,0.615649938296997,0.6443556496594335,0.6182579581117068
MLP,1,0.534837743955391,0.6436619786047122,0.5538804596752899
MNB,1,0.5741953471365236,0.6156429628406361,0.5803818078138873
PA,1,0.5789537913067325,0.6242532017126143,0.5853828841562357
SGD,1,0.5654508889803007,0.6122524091110347,0.572125298012747
SVM,1,0.5884494263906029,0.664838864324683,0.6051019545222135
ET,2,0.6806501668266374,0.6620257795898584,0.6444689196646908
LR,2,0.6175046848576259,0.6628218563450199,0.6236511275041022
MLP,2,0.5933171077288725,0.6606067430579773,0.6005949242144943
MNB,2,0.5666906622788975,0.5933223941727072,0.5631874148047511
PA,2,0.5980275606746195,0.6420187085112267,0.6015376402989698
SGD,2,0.613403720462544,0.6558615481764835,0.6160137701026286
SVM,2,0.5672247360482655,0.6434830254631002,0.5835034183625671
ET,3,0.6507589469354175,0.6726339867336549,0.6311243926971281
LR,3,0.6059017779606014,0.6733219689375121,0.6156054946218033
MLP,3,0.5666792357968828,0.6343312859683615,0.5734392387526738
MNB,3,0.5703592485945427,0.6051723853557984,0.5695795505205739
PA,3,0.6088301567713331,0.6878430842445994,0.6219117075577854
SGD,3,0.5947047397047397,0.6411879565110402,0.5972502957428522
SVM,3,0.49750468485762595,0.6129239933031304,0.5171665116051285
ET,4,0.6630337309749075,0.6534959460312124,0.6394787039160342
LR,4,0.6565028109145755,0.6954030444428284,0.6607480268592701
MLP,4,0.558965903377668,0.651044879886212,0.5749977602666715
MNB,4,0.5540157228392523,0.6107422013922745,0.5561932209787612
PA,4,0.6311243658302482,0.6728520470267697,0.6347190856664319
SGD,4,0.6386822980940629,0.6522078397984196,0.6286530745409751
SVM,4,0.5664763014763016,0.6716672055293916,0.5858962548051582
ET,5,0.635443347502171,0.6295219103837787,0.6164067257353293
LR,5,0.6127734357146122,0.6594312845815097,0.6211568855105986
MLP,5,0.5545175739293388,0.680542633207932,0.5765064424124382
MNB,5,0.49622537593125826,0.5371985708189856,0.4970126232239332
PA,5,0.5924189862425157,0.6296974047051446,0.5964921294711388
SGD,5,0.6043304081539376,0.6350160396650937,0.6047185673674728
SVM,5,0.5604732848850497,0.636088586764097,0.5772638470215371
ET,6,0.666336212806801,0.6489728976395174,0.6472882664302583
LR,6,0.6357390648567119,0.6436130354327673,0.6274590145497869
MLP,6,0.5959481694775811,0.6609395147830976,0.608463678421732
MNB,6,0.5866911193381782,0.6118198607492783,0.5874728449837178
PA,6,0.6272393619452443,0.6632042387591418,0.6309170513319143
SGD,6,0.6121849718908543,0.6619535387704513,0.6153590319047592
SVM,6,0.4780547557018145,0.6118079521212606,0.5035040237869428
ET,7,0.6410768316650669,0.636874946827077,0.624829555839511
LR,7,0.5690851958499017,0.6251998059566016,0.578482343554636
MLP,7,0.5165389185977421,0.5928868996140962,0.528891622644749
MNB,7,0.5256965583436172,0.5567566509757909,0.5298372242788464
PA,7,0.5650447918094977,0.6181947709494732,0.5718262826688557
SGD,7,0.5767850450203391,0.632569163055845,0.585913420827393
SVM,7,0.49169888934594813,0.6041798841981099,0.5134653355842539
