Algoritmo,Interaction,Precision,Recall,F1
ET,1,0.6179802550390785,0.6297452367999188,0.600950712733788
LR,1,0.6020718497189086,0.6383249366168541,0.6064987508610035
MLP,1,0.5421292106586223,0.6230789043143284,0.559612831679813
MNB,1,0.5735783171077289,0.6201001361751667,0.5786115930229015
PA,1,0.6003151423739658,0.6372908636794637,0.6035238513256723
SGD,1,0.5924859454271219,0.623469518742576,0.5898562530026409
SVM,1,0.5651044380456145,0.6390148533595733,0.5824200861899859
ET,2,0.6533836098541981,0.6455963184676633,0.6262551124466671
LR,2,0.6170935600347365,0.6672483950517746,0.6275041716225913
MLP,2,0.6013332419214773,0.6730126073074704,0.6076106332680334
MNB,2,0.5646782302664655,0.6082698286543612,0.5689357345199745
PA,2,0.5985744321038439,0.6264402000679824,0.5976814596267127
SGD,2,0.5975462772521596,0.62559652891349,0.5937286627436452
SVM,2,0.5776258055669821,0.6676297923630728,0.5968253596741827
ET,3,0.6244481009186892,0.6581576282946604,0.6111525166917345
LR,3,0.5964285387814799,0.6583580852688365,0.608119786012877
MLP,3,0.6108960647195941,0.6806703647531878,0.623251436623797
MNB,3,0.558630421865716,0.5986649786645096,0.5594340127705263
PA,3,0.6037983911513324,0.6773479375193986,0.6143805542377815
SGD,3,0.5647956945015769,0.6496301031438119,0.5765955590080287
SVM,3,0.5148270030622971,0.611263533590016,0.5314911548607626
ET,4,0.6490013254719137,0.6481108526862115,0.6293609670029962
LR,4,0.6505518990813107,0.6975344916521387,0.6580082963441284
MLP,4,0.6036249371543488,0.6405059467456349,0.6024786400048426
MNB,4,0.5603080579551167,0.6156767777027922,0.5645266107019705
PA,4,0.6321897710133004,0.6892237893084676,0.6396840463612549
SGD,4,0.635677818913113,0.6769284136204109,0.6366434391099144
SVM,4,0.5208960647195942,0.6277285677678067,0.5349354666685798
ET,5,0.6299554367201426,0.6230222725514768,0.6089557472009122
LR,5,0.6291548973901915,0.6638749846180464,0.6293709365445849
MLP,5,0.5855324740618858,0.6623183398549967,0.5987441592975303
MNB,5,0.49507084418849123,0.5434677821464122,0.5006595077101269
PA,5,0.6277793774852598,0.6730711467680907,0.6345116351275307
SGD,5,0.6016899766899767,0.6267278788701507,0.6001982023414926
SVM,5,0.5380104209515975,0.6416241533857122,0.5614163538371572
ET,6,0.6415560583207642,0.6304661412002902,0.6221182366803865
LR,6,0.631721285250697,0.6642445406375,0.6325609239247493
MLP,6,0.60473604826546,0.6640435650044483,0.6123133210324743
MNB,6,0.5859344576991636,0.6095426597713761,0.5873789774955099
PA,6,0.6248587686822981,0.6526331684668859,0.6196039021452704
SGD,6,0.6344033091091915,0.6505916792719281,0.6241799016782114
SVM,6,0.6101190639425934,0.6760329431151079,0.6258382588803909
ET,7,0.5980504136386489,0.6222762604774043,0.5923354285334295
LR,7,0.5776484300013711,0.6279925151500815,0.5831622523183649
MLP,7,0.5559888477535536,0.5948540687898273,0.5608326721019208
MNB,7,0.5191208464737876,0.5621854401867924,0.5269988488731764
PA,7,0.5731434252022488,0.6172378390030681,0.5803060742393712
SGD,7,0.5732218108688696,0.6071465818681757,0.5709336697938115
SVM,7,0.49920723067781897,0.6139946963886063,0.5216911238824253
