Algoritmo,Interaction,Precision,Recall,F1
ET,1,0.5527988025046848,0.6731404283864649,0.5835595599792925
LR,1,0.6177284153754742,0.6530933311171842,0.6220146437110738
MLP,1,0.558147538735774,0.595796982707488,0.5617211431017062
MNB,1,0.5876226061520179,0.6268133055549039,0.5913756760984996
PA,1,0.5791347867818456,0.6464950364764361,0.5944933961681299
SGD,1,0.571526349467526,0.6317710570771374,0.5841537459776863
SVM,1,0.5901012386306504,0.6633939475066477,0.605737289593823
ET,2,0.5356675350792998,0.669824550377956,0.5646143513639266
LR,2,0.6135652909182321,0.6908091248954134,0.6303260444699289
MLP,2,0.5642403674756614,0.5937139301628741,0.5578261969607454
MNB,2,0.5840886237945061,0.6004704691859458,0.5739310912913602
PA,2,0.5874192147721559,0.6183967286907038,0.589180561291184
SGD,2,0.5863330133918369,0.6653659558173112,0.6029469362035577
SVM,2,0.5995301430595548,0.6768613212810494,0.6185767946900215
ET,3,0.5446540061245945,0.6452128576565672,0.5606028348305244
LR,3,0.6004054115818821,0.6889784999269283,0.6169109843366125
MLP,3,0.5643955391014214,0.6392963198885465,0.5672282150494148
MNB,3,0.5694423876776818,0.5897772023114967,0.5627397903589525
PA,3,0.5809840486311074,0.6583907462745183,0.5916432316220418
SGD,3,0.5619840943370356,0.6408899226172408,0.572733913702592
SVM,3,0.5530787513140455,0.6505707590062544,0.5709849529641622
ET,4,0.562356369121075,0.6798318341077939,0.5882751747868097
LR,4,0.634757758581288,0.6751034226583364,0.6377018672579037
MLP,4,0.5859771927418985,0.5847709777379532,0.5684633911317037
MNB,4,0.5997696421225832,0.6459458826470375,0.599450135327335
PA,4,0.6339496777732071,0.6694289268890256,0.6340960524949367
SGD,4,0.5977414415649709,0.6494263950646234,0.6040201849065173
SVM,4,0.5927350427350427,0.6899870369000692,0.6124469799237947
ET,5,0.5335764888706065,0.6539215586608176,0.5594995336760894
LR,5,0.6042559074912016,0.6675598853987745,0.6188414702683603
MLP,5,0.5295470542529366,0.5813541474476381,0.5281407134099464
MNB,5,0.5478936423054069,0.571406372474678,0.5373715951646383
PA,5,0.5967336258512729,0.6745670004906709,0.6131978933288073
SGD,5,0.5546679464326523,0.6269537008393766,0.5702086351953118
SVM,5,0.5940202934320581,0.6679062226903915,0.609956673993996
ET,6,0.5547070250011427,0.7002873820559826,0.5803150480541249
LR,6,0.6115192650486768,0.6660494625164662,0.6175752395915298
MLP,6,0.5906442250559898,0.5961941745652329,0.5760756695590744
MNB,6,0.6013670643082407,0.635182728593894,0.6018786330111282
PA,6,0.6186861830979478,0.6721615434300875,0.6240887271201246
SGD,6,0.5919068513186162,0.6365264229772484,0.5939547770081767
SVM,6,0.6012580556698205,0.6655327310928697,0.6167660769530113
ET,7,0.497864161981809,0.5975979152252945,0.514476457611544
LR,7,0.5673065496594908,0.6385683344842872,0.5820192431223998
MLP,7,0.5295152886329356,0.5947891444064949,0.5371347413142348
MNB,7,0.5617354540883951,0.5963565534666005,0.5603019758495399
PA,7,0.5407399789752732,0.643717084913325,0.5564829986569725
SGD,7,0.5492428813017047,0.6332453870115213,0.5656688287691432
SVM,7,0.5427494401023812,0.6425703382887452,0.5636325374362429
