Algoritmo,Interaction,Precision,Recall,F1
ET,1,0.6218184103478221,0.6330905916329114,0.6061840298230218
LR,1,0.6158528726175785,0.6642649216452512,0.621475332033761
MLP,1,0.5278189131130308,0.5887959350871429,0.5368162325241156
MNB,1,0.5667553361671008,0.6112817390622572,0.5737703669325394
PA,1,0.5827610951140363,0.6320420303950756,0.5892264028502215
SGD,1,0.5940794826088943,0.6303440250331426,0.5907441642486667
SVM,1,0.5539048859637095,0.6497386215326253,0.5698671486781745
ET,2,0.6279834544540427,0.6024974013708341,0.5964793509428982
LR,2,0.6123344302756069,0.6686091763175096,0.6201562968189409
MLP,2,0.5736260798025504,0.6291314119965629,0.5832432443511725
MNB,2,0.5692346542346541,0.6069214997050856,0.5701303453391138
PA,2,0.6102031628502217,0.6497458686600254,0.6101126299511622
SGD,2,0.6171324100735865,0.6441985507877314,0.6134538820506483
SVM,2,0.5510057589469354,0.6391863332602116,0.5711222912132717
ET,3,0.6227169888934595,0.6510992535390931,0.6027651275065534
LR,3,0.5854572878102289,0.6537630785214456,0.5967595762571744
MLP,3,0.5818270944741534,0.6537617968653998,0.587167588603619
MNB,3,0.561715114950409,0.5855824825676594,0.5576347189722846
PA,3,0.5937092645916174,0.6606462656474048,0.6027416541385439
SGD,3,0.6012671968554322,0.6613229222688688,0.603304988059299
SVM,3,0.52980597833539,0.6277273799971742,0.5465306023065705
ET,4,0.6631525663878605,0.667237706043487,0.642934425469916
LR,4,0.6517850450203392,0.6898697842174905,0.6530689166863314
MLP,4,0.6214849856026325,0.6820631334235373,0.6302661820656736
MNB,4,0.5501455733808674,0.6133302419829971,0.5549573015879573
PA,4,0.6245034050916404,0.6612569361815789,0.6253979757857465
SGD,4,0.6151135792312263,0.6497017092997678,0.6096062312731702
SVM,4,0.568997668997669,0.6585980383711594,0.5846005202639387
ET,5,0.6317336258512728,0.6228004644426932,0.6023503802833517
LR,5,0.6076388317564788,0.655308560398801,0.6130190944621176
MLP,5,0.5477693221810869,0.6421507272064811,0.5624578982257183
MNB,5,0.4962214909273732,0.5579014544304925,0.5019628125219125
PA,5,0.6040895379130673,0.643907501190013,0.6079682707631965
SGD,5,0.5873901915078386,0.6195575351669372,0.5865866633326057
SVM,5,0.5399296128707894,0.6406942309465118,0.5610046966272747
ET,6,0.6432684309154898,0.6533102224803081,0.6246686039363849
LR,6,0.6240762831939303,0.6604156176062622,0.6240645215511175
MLP,6,0.5848231180584121,0.6748633621494585,0.602703717740897
MNB,6,0.5965295488824901,0.6096615942139936,0.5925987789880877
PA,6,0.6136279080396726,0.655325011388185,0.6174878588190787
SGD,6,0.616163901458019,0.6737659448195763,0.617332271727363
SVM,6,0.5766264454499749,0.6446990121795172,0.5915297252207407
ET,7,0.6152943461766992,0.6350683919637913,0.6037069291066115
LR,7,0.5907470633941222,0.6382175974680411,0.5978428814928954
MLP,7,0.518629736276795,0.5757992024154249,0.5281355021010955
MNB,7,0.5253391379861968,0.561414788418965,0.5312223311606794
PA,7,0.5608658988070752,0.6216022354143894,0.5670552077253248
SGD,7,0.551605649252708,0.6144219527760312,0.5619689440129872
SVM,7,0.5252817770464829,0.6409928372375518,0.5470582847525126
