Algoritmo,Interaction,Precision,Recall,F1
ET,1,0.6158014534485122,0.6160293714608184,0.5950625546265408
LR,1,0.5962777092188857,0.6346060787589841,0.6026302886901814
MLP,1,0.564261620732209,0.6381873616332173,0.5693378106449701
MNB,1,0.5732316376434023,0.6154450664183428,0.5787334481484719
PA,1,0.6087741670094612,0.6448508073696491,0.6105494873120343
SGD,1,0.6046398372868961,0.6317352616237056,0.6029550414013131
SVM,1,0.5927562959915901,0.664769066040179,0.6078509016508916
ET,2,0.638833127656657,0.6383212514260901,0.618008717335625
LR,2,0.6096754879107821,0.6756290943357478,0.6180085749839899
MLP,2,0.5915037250331368,0.6731221009545205,0.6081513643113688
MNB,2,0.5678749028749028,0.6075391829980262,0.5711940457132753
PA,2,0.6131710772887243,0.661938864706252,0.6202830289407525
SGD,2,0.6096457790575437,0.6369188314372115,0.604407618580396
SVM,2,0.5994874080168198,0.6814629257939723,0.6188603854632897
ET,3,0.6279644864938984,0.6386661380214823,0.60522909311208
LR,3,0.5817160290689701,0.6711907142151131,0.6003248883196047
MLP,3,0.5910795740207505,0.6164849981571384,0.5817761395330477
MNB,3,0.559640522875817,0.5878470372641561,0.5579891359279201
PA,3,0.5832023858494447,0.6553187630177885,0.5952959300837556
SGD,3,0.6022528451940218,0.6469228374806993,0.6031660753442155
SVM,3,0.5594672974084738,0.6579057125950267,0.5781510912429081
ET,4,0.6511362493715435,0.6632605971899334,0.6329044163016213
LR,4,0.6328890717126011,0.683249586412103,0.6399368735722221
MLP,4,0.5732727729786552,0.6528276533327915,0.5872315577499636
MNB,4,0.5590225787284611,0.6144028005014424,0.5639551180813275
PA,4,0.6387467434526258,0.6733259307024476,0.6396569666241824
SGD,4,0.6344926641985466,0.6524015309701005,0.6285409598586665
SVM,4,0.5710078157136981,0.6700465646106396,0.5892619175429105
ET,5,0.6513880890351479,0.6403146813152039,0.626875008010671
LR,5,0.6334944467297409,0.6877956559578817,0.6411059202711685
MLP,5,0.5903018876548288,0.6703625340800907,0.6063012701508761
MNB,5,0.5006807897984369,0.5515393307737806,0.5059120895187971
PA,5,0.5958067096302391,0.6404538185860519,0.6042364997043782
SGD,5,0.5984041775218246,0.6101793565411242,0.586981478916697
SVM,5,0.5685440376616847,0.6538728223333,0.5846867367363014
ET,6,0.6367423099776041,0.6497986597143489,0.6199001082006482
LR,6,0.6281484528543353,0.6535217552978876,0.6282857504989923
MLP,6,0.6052173316879199,0.6451918479397648,0.604133199528652
MNB,6,0.5823732803144568,0.6037882269159424,0.5801575862525107
PA,6,0.6308407605466428,0.6635547627201469,0.631837710799701
SGD,6,0.6421273824215,0.6429183138522987,0.626496186977511
SVM,6,0.5103738744915216,0.6269451701422031,0.5312921262629514
ET,7,0.5913213583801818,0.6079956326409234,0.5830969042120674
LR,7,0.5583703551350611,0.6475653221982449,0.5773978282667156
MLP,7,0.5576443164678458,0.6035021464967988,0.563441959327175
MNB,7,0.5270384843914256,0.5663547667424282,0.5330692511638756
PA,7,0.5643438914027149,0.626648247363605,0.5740786842129065
SGD,7,0.5731713058183646,0.6179107762124997,0.5750787168984518
SVM,7,0.5175039992687052,0.614057827600521,0.536832942329112
