Algoritmo,Interaction,Precision,Recall,F1
ET,1,0.5055272178801591,0.6415301092482417,0.5303400306754513
LR,1,0.5653430229900818,0.6492798726713224,0.586125773675748
MLP,1,0.5095509392568216,0.5772343178205045,0.513734106453822
MNB,1,0.6082773435714611,0.5865585180540035,0.5865152123343637
PA,1,0.5456926733397321,0.6208142749200921,0.5606649595743904
SGD,1,0.50798139768728,0.589481129219232,0.5244871151517478
SVM,1,0.5502845194021665,0.6444275623854191,0.5725866915449824
ET,2,0.5031870743635448,0.6132108082135478,0.5254653568424937
LR,2,0.5997257644316467,0.6718875471016627,0.6171876524115706
MLP,2,0.5696562914209973,0.611895365178858,0.5621890588928247
MNB,2,0.5944807806572513,0.6078095911247852,0.5805209316461035
PA,2,0.5809847342200284,0.64182696556758,0.5898704847238289
SGD,2,0.5436674436674437,0.6014816990759492,0.5466774941106555
SVM,2,0.5913055898350015,0.697252983731266,0.6174981947598942
ET,3,0.5064662461721285,0.6016367860021111,0.5189917423405337
LR,3,0.5681596508067096,0.6045331054060902,0.5704492854749645
MLP,3,0.5421598336304219,0.5838647310091852,0.5381188567430885
MNB,3,0.5671804012980484,0.5970950804759857,0.559723401137533
PA,3,0.5623863065039536,0.6144916987071545,0.567272636439344
SGD,3,0.5718465194935783,0.6388791467797851,0.5769289042776303
SVM,3,0.5563981443393208,0.6411274618106872,0.5724864675672475
ET,4,0.568995383701266,0.7011836485040391,0.5965726318352689
LR,4,0.616637414872709,0.6560046403468495,0.6182814605753567
MLP,4,0.5596060149001325,0.5659122630705654,0.5401030461279578
MNB,4,0.6268417203711322,0.6249939373434511,0.6092535650966523
PA,4,0.6098665386900681,0.6556024498041687,0.6142384948351277
SGD,4,0.6150886695004342,0.6752830488648436,0.6261576944454663
SVM,4,0.5980001371177842,0.6825822832150971,0.6183748686145544
ET,5,0.4971701174642351,0.6342849013495769,0.5205483016765573
LR,5,0.5475119978061155,0.6173166639119706,0.557109592842649
MLP,5,0.4846946844005668,0.535985961722709,0.4836552376755614
MNB,5,0.5473689382512912,0.5428667356125577,0.5312403996167819
PA,5,0.5320327711504182,0.5751045778241105,0.5333165156948513
SGD,5,0.5419159925042277,0.6063258639811394,0.544251149107612
SVM,5,0.5385013026189497,0.6247806497104286,0.5541765918573734
ET,6,0.5455608117372824,0.7026497488923606,0.5799724772965834
LR,6,0.584923899629782,0.6014343101693397,0.5776547546786273
MLP,6,0.5557662598839069,0.5842531974124299,0.5543076346687141
MNB,6,0.5657134695369989,0.5698580073468463,0.5545686529290587
PA,6,0.5752417843594314,0.6128188464725373,0.5747636832459578
SGD,6,0.5526038667215138,0.6224961641767067,0.5610272959841768
SVM,6,0.5694981489099136,0.6487359610265923,0.5871242436840817
ET,7,0.4780273321449792,0.5956362498069523,0.49875160628467435
LR,7,0.5213106174870881,0.6089114292607132,0.5373061514107331
MLP,7,0.5205701814525344,0.5722096589279774,0.5308051897871581
MNB,7,0.5275810137574843,0.5668124364212591,0.5255661832941907
PA,7,0.5215450888980301,0.5978216911429283,0.5327905237750238
SGD,7,0.5081891311303076,0.589108514955568,0.5192544065697551
SVM,7,0.5135188994012524,0.6039364742156289,0.5300825160222463
